ph,temperature,turbidity,tds,Potability,timestamp
5.47,33.0,830.75,117.21,0,2026-05-01T05:11:16.242609+00:00
5.47,33.0,830.75,117.21,0,2026-05-01T10:41:16
7.57,23.5,2.29,151.99,1,2026-05-01T05:11:17.327634+00:00
5.54,33.0,829.91,117.72,0,2026-05-01T05:11:19.502991+00:00
5.54,33.0,829.91,117.72,0,2026-05-01T10:41:19
6.01,20.47,6.46,338.29,0,2026-05-01T05:11:22.350009+00:00
5.51,32.94,830.17,117.59,0,2026-05-01T05:11:22.767168+00:00
5.51,32.94,830.17,117.59,0,2026-05-01T10:41:22
5.44,33.0,831.27,117.21,0,2026-05-01T05:11:26.030809+00:00
5.44,33.0,831.27,117.21,0,2026-05-01T10:41:26
9.14,33.2,11.39,389.39,0,2026-05-01T05:11:27.372841+00:00
5.46,33.0,830.92,117.21,0,2026-05-01T05:11:29.292383+00:00
5.46,33.0,830.92,117.21,0,2026-05-01T10:41:29
6.46,23.51,1.5,306.52,1,2026-05-01T05:11:32.394847+00:00
5.5,32.94,832.18,115.31,0,2026-05-01T05:11:32.554797+00:00
5.5,32.94,832.18,115.31,0,2026-05-01T10:41:32
5.51,33.0,832.39,117.46,0,2026-05-01T05:11:35.818253+00:00
5.51,33.0,832.39,117.46,0,2026-05-01T10:41:35
8.44,27.66,5.76,220.21,0,2026-05-01T05:11:37.440604+00:00
6.81,28.56,10.68,356.69,0,2026-05-01T05:11:42.489943+00:00
8.97,20.15,10.87,138.06,0,2026-05-01T05:11:47.538087+00:00
5.63,26.67,13.47,738.18,0,2026-05-01T05:11:52.587605+00:00
8.23,33.66,7.07,685.67,0,2026-05-01T05:11:57.635388+00:00
7.74,33.64,9.76,773.08,0,2026-05-01T05:12:02.698533+00:00
5.82,29.63,14.28,766.59,0,2026-05-01T05:12:07.746740+00:00
6.97,20.61,7.42,155.58,0,2026-05-01T05:12:12.794394+00:00
6.22,24.97,11.89,734.51,0,2026-05-01T05:12:17.843756+00:00
7.54,31.63,0.32,108.47,1,2026-05-01T05:12:22.891969+00:00
8.56,26.97,0.34,572.89,0,2026-05-01T05:12:27.936348+00:00
8.74,28.08,6.14,647.34,0,2026-05-01T05:12:32.984951+00:00
6.7,33.77,1.14,502.48,1,2026-05-01T05:12:38.030302+00:00
8.58,25.18,10.18,628.27,0,2026-05-01T05:12:43.071287+00:00
6.56,28.36,13.87,162.0,0,2026-05-01T05:12:48.119720+00:00
5.52,23.94,2.91,486.37,0,2026-05-01T05:12:53.165591+00:00
7.1,29.24,14.04,518.41,0,2026-05-01T05:12:58.185123+00:00
7.53,32.72,6.89,746.28,0,2026-05-01T05:13:03.227048+00:00
8.32,26.2,3.1,756.94,0,2026-05-01T05:13:09.279908+00:00
7.49,22.41,7.13,423.23,0,2026-05-01T05:13:14.325466+00:00
6.59,34.84,14.27,393.32,0,2026-05-01T05:13:19.376109+00:00
7.62,28.5,6.88,437.99,0,2026-05-01T05:13:24.429508+00:00
8.44,20.71,6.54,482.63,0,2026-05-01T05:13:29.480200+00:00
8.57,34.16,2.48,660.6,0,2026-05-01T05:13:34.529003+00:00
6.1,29.28,14.26,608.73,0,2026-05-01T05:13:39.581555+00:00
7.27,31.42,3.62,286.34,1,2026-05-01T05:13:44.627839+00:00
8.01,33.95,11.63,538.52,1,2026-05-01T05:13:49.671665+00:00
8.51,22.61,3.48,173.64,1,2026-05-01T05:13:54.719486+00:00
9.22,27.57,1.31,414.82,0,2026-05-01T05:13:59.758104+00:00
7.95,31.22,1.05,463.89,1,2026-05-01T05:14:04.808914+00:00
7.71,25.63,0.21,305.22,1,2026-05-01T05:14:09.836146+00:00
8.5,22.15,3.76,570.11,0,2026-05-01T05:14:14.857143+00:00
8.66,21.89,2.69,722.92,0,2026-05-01T05:14:19.885701+00:00
6.56,22.24,11.72,218.71,0,2026-05-01T05:14:24.931464+00:00
8.13,30.41,5.77,430.67,0,2026-05-01T05:14:29.978681+00:00
8.81,27.34,11.78,731.12,0,2026-05-01T05:14:35.026436+00:00
9.18,25.06,6.81,432.61,0,2026-05-01T05:14:40.074569+00:00
6.18,29.38,7.88,191.45,0,2026-05-01T05:14:45.112010+00:00
8.06,28.74,14.62,398.8,0,2026-05-01T05:14:50.160259+00:00
7.11,30.88,13.83,732.22,0,2026-05-01T05:14:55.208235+00:00
7.86,31.46,1.27,322.3,1,2026-05-01T05:15:00.245765+00:00
5.36,33.06,823.73,118.1,0,2026-05-01T05:16:00.195459+00:00
5.36,33.06,823.73,118.1,0,2026-05-01T10:46:00
5.49,33.06,825.41,115.32,0,2026-05-01T05:16:03.389091+00:00
5.49,33.06,825.41,115.32,0,2026-05-01T10:46:03
5.47,33.06,822.84,122.13,0,2026-05-01T05:16:06.650999+00:00
5.47,33.06,822.84,122.13,0,2026-05-01T10:46:06
5.42,33.06,823.43,117.09,0,2026-05-01T05:16:09.972688+00:00
5.42,33.06,823.43,117.09,0,2026-05-01T10:46:09
5.4,33.13,822.93,118.47,0,2026-05-01T05:16:13.180334+00:00
5.4,33.13,822.93,118.47,0,2026-05-01T10:46:13
5.43,33.06,822.09,117.59,0,2026-05-01T05:16:16.439517+00:00
5.43,33.06,822.09,117.59,0,2026-05-01T10:46:16
5.45,33.06,824.23,117.84,0,2026-05-01T05:16:19.707286+00:00
5.45,33.06,824.23,117.84,0,2026-05-01T10:46:19
5.46,33.06,824.02,117.84,0,2026-05-01T05:16:22.965633+00:00
5.46,33.06,824.02,117.84,0,2026-05-01T10:46:22
5.43,33.13,822.08,116.45,0,2026-05-01T05:16:26.228908+00:00
5.43,33.13,822.08,116.45,0,2026-05-01T10:46:26
5.46,33.06,824.23,117.84,0,2026-05-01T05:16:29.506351+00:00
5.46,33.06,824.23,117.84,0,2026-05-01T10:46:29
5.41,33.13,824.02,117.46,0,2026-05-01T05:16:32.756528+00:00
5.41,33.13,824.02,117.46,0,2026-05-01T10:46:32
5.39,33.13,825.16,118.22,0,2026-05-01T05:16:36.021345+00:00
5.39,33.13,825.16,118.22,0,2026-05-01T10:46:36
5.44,33.13,826.35,117.72,0,2026-05-01T05:16:39.280464+00:00
5.44,33.13,826.35,117.72,0,2026-05-01T10:46:39
5.41,33.13,824.88,115.7,0,2026-05-01T05:16:45.806773+00:00
5.41,33.13,824.88,115.7,0,2026-05-01T10:46:45
5.36,33.06,824.05,118.35,0,2026-05-01T05:16:49.072121+00:00
5.36,33.06,824.05,118.35,0,2026-05-01T10:46:49
5.46,33.13,823.62,116.45,0,2026-05-01T05:16:52.340548+00:00
5.46,33.13,823.62,116.45,0,2026-05-01T10:46:52
5.46,33.06,822.98,117.59,0,2026-05-01T05:16:55.595891+00:00
5.46,33.06,822.98,117.59,0,2026-05-01T10:46:55
5.48,33.06,821.43,119.1,0,2026-05-01T05:16:58.863053+00:00
5.48,33.06,821.43,119.1,0,2026-05-01T10:46:58
5.41,33.13,820.1,116.2,0,2026-05-01T05:17:02.123035+00:00
5.41,33.13,820.1,116.2,0,2026-05-01T10:47:02
5.45,33.13,821.42,117.46,0,2026-05-01T05:17:05.386325+00:00
5.45,33.13,821.42,117.46,0,2026-05-01T10:47:05
5.43,33.13,821.81,117.21,0,2026-05-01T05:17:08.652230+00:00
5.43,33.13,821.81,117.21,0,2026-05-01T10:47:08
5.45,33.13,822.44,117.72,0,2026-05-01T05:17:11.911299+00:00
5.45,33.13,822.44,117.72,0,2026-05-01T10:47:11
5.47,33.13,823.66,119.48,0,2026-05-01T05:17:15.175192+00:00
5.47,33.13,823.66,119.48,0,2026-05-01T10:47:15
5.49,33.13,824.08,116.96,0,2026-05-01T05:17:21.699903+00:00
5.49,33.13,824.08,116.96,0,2026-05-01T10:47:21
5.42,33.13,824.32,118.98,0,2026-05-01T05:17:24.964537+00:00
5.42,33.13,824.32,118.98,0,2026-05-01T10:47:24
5.44,33.06,824.56,118.85,0,2026-05-01T05:17:28.226367+00:00
5.44,33.06,824.56,118.85,0,2026-05-01T10:47:28
5.42,33.13,824.8,116.71,0,2026-05-01T05:17:31.489570+00:00
5.42,33.13,824.8,116.71,0,2026-05-01T10:47:31
5.4,33.06,825.39,116.83,0,2026-05-01T05:17:34.755046+00:00
5.4,33.06,825.39,116.83,0,2026-05-01T10:47:34
5.55,33.13,825.57,117.46,0,2026-05-01T05:17:38.015556+00:00
5.55,33.13,825.57,117.46,0,2026-05-01T10:47:38
5.41,33.13,826.13,117.72,0,2026-05-01T05:17:41.279768+00:00
5.41,33.13,826.13,117.72,0,2026-05-01T10:47:41
5.48,33.13,826.47,116.96,0,2026-05-01T05:17:44.542416+00:00
5.48,33.13,826.47,116.96,0,2026-05-01T10:47:44
5.46,33.13,827.09,118.98,0,2026-05-01T05:17:47.805724+00:00
5.46,33.13,827.09,118.98,0,2026-05-01T10:47:47
5.47,33.06,825.9,118.85,0,2026-05-01T05:17:51.068217+00:00
5.47,33.06,825.9,118.85,0,2026-05-01T10:47:51
5.44,33.13,827.09,118.22,0,2026-05-01T05:17:54.331162+00:00
5.44,33.13,827.09,118.22,0,2026-05-01T10:47:54
5.41,33.13,828.13,117.97,0,2026-05-01T05:17:57.594167+00:00
5.41,33.13,828.13,117.97,0,2026-05-01T10:47:57
5.43,33.13,828.44,117.46,0,2026-05-01T05:18:00.857918+00:00
5.43,33.13,828.44,117.46,0,2026-05-01T10:48:00
5.51,33.13,826.82,117.72,0,2026-05-01T05:18:04.119313+00:00
5.51,33.13,826.82,117.72,0,2026-05-01T10:48:04
5.43,33.13,825.65,117.46,0,2026-05-01T05:18:07.386911+00:00
5.43,33.13,825.65,117.46,0,2026-05-01T10:48:07
5.44,33.13,825.82,119.98,0,2026-05-01T05:18:10.649345+00:00
5.44,33.13,825.82,119.98,0,2026-05-01T10:48:10
5.42,33.13,822.1,115.7,0,2026-05-01T05:18:13.909261+00:00
5.42,33.13,822.1,115.7,0,2026-05-01T10:48:13
5.45,33.19,824.24,115.83,0,2026-05-01T05:18:17.173232+00:00
5.45,33.19,824.24,115.83,0,2026-05-01T10:48:17
5.43,33.13,822.83,119.73,0,2026-05-01T05:18:20.434887+00:00
5.43,33.13,822.83,119.73,0,2026-05-01T10:48:20
5.42,33.19,822.92,117.59,0,2026-05-01T05:18:23.698539+00:00
5.42,33.19,822.92,117.59,0,2026-05-01T10:48:23
5.41,33.13,821.4,118.22,0,2026-05-01T05:18:27.002147+00:00
5.41,33.13,821.4,118.22,0,2026-05-01T10:48:27
5.42,33.13,820.95,117.97,0,2026-05-01T05:18:30.224842+00:00
5.42,33.13,820.95,117.97,0,2026-05-01T10:48:30
5.46,33.19,820.47,116.83,0,2026-05-01T05:18:33.488182+00:00
5.46,33.19,820.47,116.83,0,2026-05-01T10:48:33
5.46,33.13,820.33,117.46,0,2026-05-01T05:18:36.752373+00:00
5.46,33.13,820.33,117.46,0,2026-05-01T10:48:36
5.5,33.13,817.72,117.97,0,2026-05-01T05:18:40.014934+00:00
5.5,33.13,817.72,117.97,0,2026-05-01T10:48:40
5.47,33.13,816.6,117.72,0,2026-05-01T05:18:43.294107+00:00
5.47,33.13,816.6,117.72,0,2026-05-01T10:48:43
5.4,33.13,816.6,117.21,0,2026-05-01T05:18:46.560623+00:00
5.4,33.13,816.6,117.21,0,2026-05-01T10:48:46
5.5,33.19,816.26,116.58,0,2026-05-01T05:18:50.727762+00:00
5.5,33.19,816.26,116.58,0,2026-05-01T10:48:50
5.49,33.19,817.02,119.85,0,2026-05-01T05:18:53.065517+00:00
5.49,33.19,817.02,119.85,0,2026-05-01T10:48:53
5.44,33.13,816.22,119.23,0,2026-05-01T05:18:56.329509+00:00
5.44,33.13,816.22,119.23,0,2026-05-01T10:48:56
5.49,33.13,815.98,118.72,0,2026-05-01T05:18:59.607754+00:00
5.49,33.13,815.98,118.72,0,2026-05-01T10:48:59
5.47,33.13,814.02,117.46,0,2026-05-01T05:19:02.854230+00:00
5.47,33.13,814.02,117.46,0,2026-05-01T10:49:02
5.46,33.19,813.29,117.09,0,2026-05-01T10:49:25
5.41,33.19,813.22,118.85,0,2026-05-01T10:49:28
5.47,33.19,812.51,117.59,0,2026-05-01T10:49:32
5.51,33.19,813.5,118.09,0,2026-05-01T10:49:35
5.45,33.19,815.33,117.59,0,2026-05-01T10:49:38
5.4,33.19,815.54,117.59,0,2026-05-01T10:49:42
5.44,33.13,815.94,117.72,0,2026-05-01T10:49:45
5.5,33.13,816.58,117.72,0,2026-05-01T10:49:48
5.41,33.13,817.11,111.14,0,2026-05-01T10:49:51
5.45,33.19,815.56,118.09,0,2026-05-01T10:49:55
5.53,33.13,815.61,119.23,0,2026-05-01T10:49:58
5.46,33.13,816.14,115.44,0,2026-05-01T10:50:01
5.42,33.13,814.58,118.47,0,2026-05-01T10:50:04
5.42,33.19,813.95,117.84,0,2026-05-01T10:50:08
5.44,33.19,811.71,118.09,0,2026-05-01T10:50:11
5.52,33.19,810.69,116.83,0,2026-05-01T10:50:14
5.47,33.19,810.22,118.6,0,2026-05-01T10:50:17
5.46,33.19,811.61,117.59,0,2026-05-01T10:50:21
5.43,33.19,809.81,117.59,0,2026-05-01T10:50:24
5.5,33.19,809.78,117.59,0,2026-05-01T10:50:27
5.47,33.19,808.92,117.34,0,2026-05-01T10:50:30
5.45,33.19,809.34,117.59,0,2026-05-01T10:50:34
5.39,33.19,810.49,118.35,0,2026-05-01T10:50:37
5.44,33.19,809.99,116.83,0,2026-05-01T10:50:40
5.45,33.19,807.95,118.09,0,2026-05-01T10:50:44
5.4,33.19,806.83,115.57,0,2026-05-01T10:50:47
5.49,33.19,807.69,116.83,0,2026-05-01T10:50:50
5.46,33.19,807.61,120.11,0,2026-05-01T10:50:53
5.45,33.19,808.44,120.36,0,2026-05-01T10:50:57
5.49,33.19,808.17,115.32,0,2026-05-01T10:51:00
5.42,33.13,808.26,118.98,0,2026-05-01T10:51:03
5.48,33.19,807.27,117.84,0,2026-05-01T10:51:06
5.47,33.19,808.33,118.35,0,2026-05-01T10:51:10
5.41,33.13,809.51,118.22,0,2026-05-01T10:51:13
5.47,33.13,808.58,117.21,0,2026-05-01T10:51:19
5.44,33.19,808.04,118.09,0,2026-05-01T10:51:23
5.48,33.19,807.03,116.58,0,2026-05-01T10:51:26
5.43,33.19,807.41,118.09,0,2026-05-01T10:51:29
5.43,33.19,807.35,117.34,0,2026-05-01T10:51:32
5.44,33.19,806.82,117.09,0,2026-05-01T10:51:36
5.44,33.19,805.98,118.09,0,2026-05-01T10:51:39
5.41,33.19,808.46,117.84,0,2026-05-01T10:51:42
5.44,33.25,808.69,117.72,0,2026-05-01T10:51:46
5.45,33.19,809.45,118.09,0,2026-05-01T10:51:49
5.44,33.19,808.65,118.35,0,2026-05-01T10:51:52
5.43,33.19,809.26,116.58,0,2026-05-01T10:51:55
5.43,33.19,812.01,118.85,0,2026-05-01T10:51:59
5.47,33.19,809.93,117.34,0,2026-05-01T10:52:02
5.47,33.19,808.96,118.85,0,2026-05-01T10:52:05
5.43,33.19,810.38,116.83,0,2026-05-01T10:52:08
5.43,33.19,812.0,117.34,0,2026-05-01T10:52:12
5.42,33.19,812.49,115.83,0,2026-05-01T10:52:15
5.47,33.19,811.78,117.59,0,2026-05-01T10:52:18
5.52,33.19,811.91,115.07,0,2026-05-01T10:52:21
5.47,33.19,810.58,117.84,0,2026-05-01T10:52:25
5.48,33.19,810.52,117.84,0,2026-05-01T10:52:28
5.45,33.19,811.88,118.35,0,2026-05-01T10:52:31
5.47,33.25,811.94,117.97,0,2026-05-01T10:52:34
5.5,33.19,812.47,116.83,0,2026-05-01T10:52:38
5.46,33.19,811.62,116.83,0,2026-05-01T10:52:44
5.43,33.19,811.69,118.6,0,2026-05-01T10:52:48
5.46,33.19,811.03,118.09,0,2026-05-01T10:52:51
5.41,33.25,810.0,117.72,0,2026-05-01T10:52:57
5.48,33.25,808.98,116.46,0,2026-05-01T10:53:01
5.53,33.25,807.99,117.46,0,2026-05-01T10:53:04
5.5,33.19,809.58,117.34,0,2026-05-01T10:53:07
5.46,33.25,808.0,117.97,0,2026-05-01T10:53:10
5.44,33.25,808.73,117.46,0,2026-05-01T10:53:14
5.39,33.25,810.65,117.97,0,2026-05-01T10:53:17
5.47,33.25,810.89,117.97,0,2026-05-01T10:53:20
5.42,33.19,810.45,119.35,0,2026-05-01T10:53:23
5.53,33.25,811.17,117.21,0,2026-05-01T10:53:27
5.44,33.25,812.75,115.95,0,2026-05-01T10:53:30
5.45,33.25,811.18,117.72,0,2026-05-01T10:53:33
5.44,33.25,809.85,118.47,0,2026-05-01T10:53:36
5.45,33.25,810.3,116.71,0,2026-05-01T10:53:40
5.48,33.25,811.13,117.46,0,2026-05-01T10:53:43
5.45,33.25,811.37,114.19,0,2026-05-01T10:53:46
5.46,33.25,810.93,117.72,0,2026-05-01T10:53:50
5.45,33.25,811.83,117.72,0,2026-05-01T10:53:53
5.47,33.25,811.24,118.72,0,2026-05-01T10:53:56
5.53,33.25,810.55,117.97,0,2026-05-01T10:53:59
5.53,33.25,811.54,117.21,0,2026-05-01T10:54:03
5.45,33.25,810.64,116.71,0,2026-05-01T10:54:06
5.43,33.25,812.08,117.46,0,2026-05-01T10:54:09
5.48,33.25,812.86,119.48,0,2026-05-01T10:54:12
5.42,33.25,814.28,116.96,0,2026-05-01T10:54:16
5.43,33.19,811.12,118.35,0,2026-05-01T10:54:19
5.43,33.19,810.52,117.84,0,2026-05-01T10:54:22
5.45,33.25,809.14,118.47,0,2026-05-01T10:54:25
5.46,33.25,809.24,117.21,0,2026-05-01T10:54:29
5.41,33.19,811.83,117.59,0,2026-05-01T10:54:32
5.51,33.25,809.87,117.21,0,2026-05-01T10:54:35
5.51,33.31,809.29,118.09,0,2026-05-01T10:54:38
5.46,33.25,808.43,117.21,0,2026-05-01T10:54:42
5.43,33.25,807.49,119.48,0,2026-05-01T10:54:45
5.44,33.25,807.37,117.72,0,2026-05-01T10:54:48
5.42,33.31,806.31,117.59,0,2026-05-01T10:54:51
5.47,33.25,804.63,114.94,0,2026-05-01T10:54:55
5.51,33.25,804.29,118.97,0,2026-05-01T10:54:58
5.45,33.25,799.92,88.83,0,2026-05-01T10:55:01
5.48,33.19,797.92,89.71,0,2026-05-01T10:55:04
5.45,33.25,796.64,88.05,0,2026-05-01T10:55:08
5.49,33.25,797.45,89.09,0,2026-05-01T10:55:11
5.48,33.25,796.67,89.09,0,2026-05-01T10:55:14
5.47,33.19,798.49,92.05,0,2026-05-01T10:55:17
5.5,33.25,798.18,92.21,0,2026-05-01T10:55:20
5.47,33.25,797.92,92.46,0,2026-05-01T10:55:23
5.48,33.25,799.72,91.69,0,2026-05-01T10:55:27
5.38,33.25,799.57,91.95,0,2026-05-01T10:55:30
5.45,33.25,802.61,93.5,0,2026-05-01T10:55:33
5.52,33.25,802.66,94.79,0,2026-05-01T10:55:36
5.45,33.25,804.22,90.65,0,2026-05-01T10:55:39
5.43,33.25,805.54,92.72,0,2026-05-01T10:55:43
5.56,33.25,808.67,94.27,0,2026-05-01T10:55:46
5.47,33.31,810.12,93.14,0,2026-05-01T10:55:49
5.52,33.25,808.16,91.17,0,2026-05-01T10:55:52
5.44,33.31,807.92,91.07,0,2026-05-01T10:55:55
5.49,33.31,811.26,97.26,0,2026-05-01T10:55:58
5.45,33.31,812.1,102.64,0,2026-05-01T10:56:02
5.42,33.31,812.86,103.92,0,2026-05-01T10:56:05
5.44,33.31,806.93,90.03,0,2026-05-01T10:56:08
5.46,33.31,809.94,89.0,0,2026-05-01T10:56:11
5.49,33.25,814.95,114.94,0,2026-05-01T10:56:15
5.45,33.31,814.91,115.83,0,2026-05-01T10:56:18
5.43,33.31,814.05,119.1,0,2026-05-01T10:56:21
5.44,33.31,812.42,118.59,0,2026-05-01T10:56:24
5.5,33.31,808.17,88.48,0,2026-05-01T10:56:28
5.42,33.38,803.99,89.16,0,2026-05-01T10:56:31
5.52,33.31,803.59,90.81,0,2026-05-01T10:56:34
5.44,33.31,803.13,91.85,0,2026-05-01T10:56:37
5.45,33.31,803.67,89.26,0,2026-05-01T10:56:41
5.46,33.31,801.61,91.59,0,2026-05-01T10:56:44
5.43,33.31,801.51,91.07,0,2026-05-01T10:56:47
5.45,33.31,804.21,93.14,0,2026-05-01T10:56:50
5.47,33.31,803.83,91.33,0,2026-05-01T10:56:54
5.47,33.31,804.57,93.66,0,2026-05-01T10:56:57
5.41,33.31,802.4,91.59,0,2026-05-01T10:57:00
5.47,33.31,803.28,93.4,0,2026-05-01T10:57:03
5.45,33.31,805.09,91.33,0,2026-05-01T10:57:07
5.46,33.31,805.12,92.37,0,2026-05-01T10:57:10
5.47,33.31,803.24,92.11,0,2026-05-01T10:57:13
5.43,33.25,803.71,92.72,0,2026-05-01T10:57:17
5.46,33.31,804.53,92.37,0,2026-05-01T10:57:20
5.61,33.31,807.17,115.58,0,2026-05-01T10:57:23
5.47,33.31,806.42,91.33,0,2026-05-01T10:57:26
5.41,33.31,804.15,93.92,0,2026-05-01T10:57:30
5.45,33.31,808.94,119.35,0,2026-05-01T10:57:33
5.46,33.31,809.35,117.59,0,2026-05-01T10:57:36
5.46,33.38,807.59,98.95,0,2026-05-01T10:57:39
5.47,33.31,805.7,118.09,0,2026-05-01T10:57:43
5.44,33.31,804.61,119.6,0,2026-05-01T10:57:46
5.47,33.31,805.49,117.59,0,2026-05-01T10:57:49
5.44,33.31,806.09,118.34,0,2026-05-01T10:57:52
5.45,33.31,805.08,116.84,0,2026-05-01T10:57:56
5.46,33.31,805.97,116.58,0,2026-05-01T10:57:59
5.44,33.31,805.55,120.6,0,2026-05-01T10:58:02
5.47,33.31,806.79,118.09,0,2026-05-01T10:58:05
5.48,33.38,807.0,120.72,0,2026-05-01T10:58:09
5.47,33.31,806.71,117.84,0,2026-05-01T10:58:12
5.47,33.31,806.63,118.59,0,2026-05-01T10:58:15
5.46,33.38,802.5,87.6,0,2026-05-01T10:58:18
5.44,33.31,805.37,117.84,0,2026-05-01T10:58:22
5.46,33.31,801.78,88.48,0,2026-05-01T10:58:25
5.45,33.38,801.05,92.52,0,2026-05-01T10:58:28
5.45,33.38,800.49,89.68,0,2026-05-01T10:58:31
5.39,33.31,801.0,94.69,0,2026-05-01T10:58:35
5.43,33.31,800.13,91.59,0,2026-05-01T10:58:38
5.39,33.38,800.72,97.16,0,2026-05-01T10:58:41
5.41,33.38,801.93,94.85,0,2026-05-01T10:58:45
5.44,33.38,802.63,110.16,0,2026-05-01T10:58:48
5.43,33.38,801.99,98.19,0,2026-05-01T10:58:51
5.43,33.31,802.99,96.75,0,2026-05-01T10:58:54
5.48,33.38,804.32,100.75,0,2026-05-01T10:58:58
5.43,33.38,802.83,97.16,0,2026-05-01T10:59:01
5.46,33.31,801.7,96.75,0,2026-05-01T10:59:04
5.44,33.31,802.9,118.85,0,2026-05-01T10:59:07
5.45,33.38,798.65,88.64,0,2026-05-01T10:59:11
5.45,33.38,796.52,91.75,0,2026-05-01T10:59:14
5.47,33.38,794.85,91.23,0,2026-05-01T10:59:17
5.34,33.38,796.58,92.78,0,2026-05-01T10:59:20
5.45,33.38,799.66,106.35,0,2026-05-01T10:59:24
5.49,33.44,801.44,100.64,0,2026-05-01T10:59:27
5.37,33.38,798.55,89.68,0,2026-05-01T10:59:30
5.44,33.44,796.83,123.84,0,2026-05-01T10:59:33
5.55,33.44,800.25,118.59,0,2026-05-01T10:59:37
5.46,33.38,795.63,89.68,0,2026-05-01T10:59:40
5.45,33.38,792.88,88.38,0,2026-05-01T10:59:43
5.48,33.38,489.66,91.75,0,2026-05-01T10:59:46
5.41,33.38,390.15,92.27,0,2026-05-01T10:59:49
5.48,33.38,353.8,90.2,0,2026-05-01T10:59:53
5.44,33.38,345.63,93.04,0,2026-05-01T10:59:56
5.38,33.38,345.06,95.1,0,2026-05-01T10:59:59
5.44,33.38,340.78,92.52,0,2026-05-01T11:00:02
5.48,33.38,317.11,91.49,0,2026-05-01T11:00:05
5.45,33.38,309.83,92.78,0,2026-05-01T11:00:08
5.49,33.38,303.04,91.23,0,2026-05-01T11:00:12
5.46,33.38,299.63,94.59,0,2026-05-01T11:00:15
5.47,33.38,297.58,93.04,0,2026-05-01T11:00:18
5.5,33.44,296.97,100.13,0,2026-05-01T11:00:21
5.57,33.38,295.07,117.21,0,2026-05-01T11:00:24
5.45,33.38,284.76,114.45,0,2026-05-01T11:00:28
5.47,33.38,278.25,119.97,0,2026-05-01T11:00:31
5.42,33.44,277.15,106.75,0,2026-05-01T11:00:34
5.46,33.44,275.62,91.39,0,2026-05-01T11:00:38
5.48,33.38,277.73,101.0,0,2026-05-01T11:00:41
5.44,33.44,273.4,90.62,0,2026-05-01T11:00:44
5.38,33.44,271.08,90.88,0,2026-05-01T11:00:47
5.45,33.44,272.26,91.65,0,2026-05-01T11:00:50
5.5,33.44,270.91,93.2,0,2026-05-01T11:00:54
5.44,33.44,269.48,92.17,0,2026-05-01T11:00:57
5.46,33.44,269.73,90.62,0,2026-05-01T11:01:00
5.42,33.44,272.2,92.94,0,2026-05-01T11:01:04
5.47,33.44,271.4,92.68,0,2026-05-01T11:01:07
5.45,33.44,268.6,92.43,0,2026-05-01T11:01:10
5.5,33.44,266.39,91.39,0,2026-05-01T11:01:13
5.47,33.44,267.44,90.88,0,2026-05-01T11:01:17
5.39,33.44,268.61,91.65,0,2026-05-01T11:01:20
5.43,33.44,267.25,91.13,0,2026-05-01T11:01:23
5.42,33.44,263.42,91.13,0,2026-05-01T11:01:26
5.44,33.44,261.42,94.74,0,2026-05-01T11:01:30
5.47,33.44,261.84,92.94,0,2026-05-01T11:01:33
5.43,33.44,262.14,92.68,0,2026-05-01T11:01:36
5.45,33.44,262.4,93.2,0,2026-05-01T11:01:39
5.49,33.38,266.24,94.07,0,2026-05-01T11:01:43
5.46,33.44,262.61,92.94,0,2026-05-01T11:01:46
5.49,33.44,260.49,92.68,0,2026-05-01T11:01:49
5.44,33.44,258.83,91.65,0,2026-05-01T11:01:52
5.44,33.44,259.53,93.2,0,2026-05-01T11:01:56
5.46,33.44,260.59,93.97,0,2026-05-01T11:01:59
5.44,33.44,258.52,92.43,0,2026-05-01T11:02:02
5.46,33.44,259.44,93.46,0,2026-05-01T11:02:06
5.42,33.44,263.47,89.07,0,2026-05-01T11:02:09
5.49,33.44,263.49,105.73,0,2026-05-01T11:02:12
5.44,33.44,268.11,95.77,0,2026-05-01T11:02:15
5.45,33.44,265.9,107.0,0,2026-05-01T11:02:19
5.44,33.44,267.63,109.53,0,2026-05-01T11:02:22
5.45,33.44,265.59,103.19,0,2026-05-01T11:02:25
5.43,33.44,265.15,109.53,0,2026-05-01T11:02:28
5.44,33.44,267.92,115.33,0,2026-05-01T11:02:32
5.47,33.44,270.12,112.81,0,2026-05-01T11:02:35
5.45,33.44,267.87,92.17,0,2026-05-01T11:02:38
5.46,33.44,268.91,88.55,0,2026-05-01T11:02:41
5.45,33.44,271.1,89.58,0,2026-05-01T11:02:44
5.45,33.44,269.02,91.13,0,2026-05-01T11:02:48
5.43,33.44,267.37,91.65,0,2026-05-01T11:02:51
5.46,33.44,268.08,117.59,0,2026-05-01T11:02:54
5.46,33.44,269.14,102.42,0,2026-05-01T11:02:57
5.45,33.44,263.82,98.59,0,2026-05-01T11:03:01
5.47,33.44,266.5,109.03,0,2026-05-01T11:03:04
5.44,33.44,271.57,108.77,0,2026-05-01T11:03:07
5.46,33.44,271.39,88.81,0,2026-05-01T11:03:10
5.45,33.44,272.53,90.1,0,2026-05-01T11:03:13
5.44,33.44,269.62,91.39,0,2026-05-01T11:03:17
5.45,33.44,269.09,92.17,0,2026-05-01T11:03:20
5.43,33.44,264.15,92.43,0,2026-05-01T11:03:23
5.46,33.38,262.32,93.04,0,2026-05-01T11:03:26
